Job_Title,Salary_Estimate,Rating,Company_Name,Location_,Size_,Founded,Type_of_Ownership,Industry_,Sector_,Revenue_,Competitors,Easy_Apply
"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,"Vera Institute of Justice
3.2","New York, NY",201 to 500 employees,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1,TRUE
Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY",10000+ employees,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1
"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1
Data Analyst,$37K-$66K (Glassdoor est.),4.1,"Celerity
4.1","New York, NY",201 to 500 employees,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,"FanDuel
3.9","New York, NY",501 to 1000 employees,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,TRUE
Data Analyst,$37K-$66K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1
Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1
Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE
Data Analyst,$37K-$66K (Glassdoor est.),4,"DMGT
4.0","New York, NY",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1
"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1
Data Analyst,$37K-$66K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1
Data Analyst,$37K-$66K (Glassdoor est.),-1,BulbHead,"Fairfield, NJ",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY",10000+ employees,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1
Senior Data Analyst,$37K-$66K (Glassdoor est.),3,"Known
3.0","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE
Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,"Advisor Group
3.4","Jersey City, NJ",1001 to 5000 employees,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),-1,-1
Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,"CodeGreen Solutions
3.6","New York, NY",1 to 50 employees,-1,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY",201 to 500 employees,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",TRUE
Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY",51 to 200 employees,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",-1
DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.
3.9","New York, NY",501 to 1000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),4.9,"Teachers Pay Teachers
4.9","New York, NY",51 to 200 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1
"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,"Google
4.4","New York, NY",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1
Data Science Analyst,$37K-$66K (Glassdoor est.),-1,MUSIC & Entertainment,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,"Macquarie Group
3.3","New York, NY",10000+ employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",-1
Data Analyst,$37K-$66K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1
Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1
Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5,"Duolingo
5.0","New York, NY",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,-1
"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,"Ro
4.8","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,"Endai
3.7","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$37K-$66K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Revel
3.6","Brooklyn, NY",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,TRUE
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY",1 to 50 employees,-1,Contract,-1,-1,Less than $1 million (USD),-1,-1
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,"SoFi
3.2","New York, NY",1001 to 5000 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1,-1
Data Analyst (Games),$46K-$87K (Glassdoor est.),-1,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY",10000+ employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,-1
Data Business Analyst,$46K-$87K (Glassdoor est.),-1,Clear Street,"New York, NY",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,"Nutech Information Systems
3.6","New York, NY",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1
Data Analyst,$46K-$87K (Glassdoor est.),4.6,"The Trevor Project
4.6","New York, NY",51 to 200 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),-1,-1
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1,Pinto,"New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1,AB InBev,"New York, NY",1001 to 5000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),5,"Whip Media Group
5.0","New York, NY",51 to 200 employees,2016,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),3,"Vettery
3.0","New York, NY",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",-1
Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC
2.9","New York, NY",1001 to 5000 employees,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),-1,-1
Advertising Data Analyst,$46K-$87K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",TRUE
