,State_,City_ID,City,Lat,Long
0,AK,1,Adak,55.999722,-161.207778
1,AK,2,Akiachak,60.891854,-161.39233
2,AK,3,Akiak,60.890632,-161.199325
3,AK,4,Akutan,54.143012,-165.785368
4,AK,5,Alakanuk,62.746967,-164.60228
5,AK,6,Aleknagik,59.269688,-158.619882
6,AK,7,Allakaket,66.543197,-152.712155
7,AK,8,Ambler,67.46951,-156.455652
8,AK,9,Anaktuvuk Pass,68.11878,-151.679005
9,AK,10,Anchor Point,59.788818,-151.732933
10,AK,11,Anchorage,61.211571,-149.876077
11,AK,12,Anderson,64.300693,-149.1718
12,AK,13,Angoon,57.569832,-134.371052
13,AK,14,Aniak,61.691648,-157.758502
14,AK,15,Anvik,62.830913,-160.130441
15,AK,16,Arctic Village,68.077395,-145.423115
16,AK,17,Atka,52.199167,-174.213333
17,AK,18,Atqasuk,71.290556,-156.788611
18,AK,19,Auke Bay,58.3833,-134.6597
19,AK,20,Barrow,71.234637,-156.817409
20,AK,21,Beaver,66.33883,-147.279803
21,AK,22,Bethel,60.832389,-161.824053
22,AK,23,Bettles Field,67.100495,-151.062414
23,AK,24,Big Lake,61.5842,-149.4401
24,AK,25,Brevig Mission,65.334187,-166.478578
25,AK,26,Buckland,65.981052,-161.131676
26,AK,27,Cantwell,63.395458,-148.89735
27,AK,28,Central,65.468058,-144.74886
28,AK,29,Chalkyitsik,66.719,-143.638121
29,AK,30,Chefornak,60.153746,-164.210294
30,AK,31,Chevak,61.583982,-164.776457
31,AK,32,Chicken,64.075,-141.933333
32,AK,33,Chignik,56.301639,-158.415696
33,AK,34,Chignik Lagoon,56.251277,-158.673528
34,AK,35,Chignik Lake,56.255556,-158.7625
35,AK,36,Chitina,61.516667,-144.436667
36,AK,37,Chugiak,61.409802,-149.453736
37,AK,38,Circle,65.824542,-144.08262
38,AK,39,Clam Gulch,60.201603,-151.422628
39,AK,40,Clarks Point,58.84921,-158.451241
40,AK,41,Clear,64.418121,-149.139885
41,AK,42,Coffman Cove,55.342222,-131.646111
42,AK,43,Cold Bay,55.610952,-161.942941
43,AK,44,Cooper Landing,60.476692,-149.823514
44,AK,45,Copper Center,61.91581,-144.97793
45,AK,46,Cordova,60.102558,-147.943316
46,AK,47,Craig,55.47317,-133.117081
47,AK,48,Crooked Creek,61.818072,-158.002483
48,AK,49,Deering,66.062265,-162.711951
49,AK,50,Delta Junction,64.005426,-145.613611
50,AK,51,Denali National Park,63.516075,-149.539532
51,AK,52,Dillingham,59.059279,-158.973533
52,AK,53,Douglas,58.275597,-134.395041
53,AK,54,Dutch Harbor,53.362757,-167.510656
54,AK,55,Eagle,64.783333,-141.2
55,AK,56,Eagle River,61.311357,-149.508515
56,AK,57,Eek,60.215058,-162.032341
57,AK,58,Egegik,58.206174,-157.342202
58,AK,59,Eielson Afb,64.67352,-147.08051
59,AK,60,Ekwok,59.362792,-157.478211
60,AK,61,Elfin Cove,58.195,-136.358333
61,AK,62,Elim,64.621662,-162.260371
62,AK,63,Elmendorf Afb,61.251531,-149.812667
63,AK,64,Emmonak,62.827404,-164.131298
64,AK,65,Ester,64.846667,-148.016667
65,AK,66,Fairbanks,64.840238,-147.710431
66,AK,67,False Pass,54.841028,-163.436845
67,AK,68,Fort Greely,64.036667,-145.733333
68,AK,69,Fort Richardson,61.275256,-149.675454
69,AK,70,Fort Wainwright,64.828303,-147.655673
70,AK,71,Fort Yukon,66.520744,-145.306439
71,AK,72,Gakona,62.654744,-143.568393
72,AK,73,Galena,64.760784,-156.797701
73,AK,74,Gambell,63.776555,-171.701685
74,AK,75,Girdwood,60.9425,-149.166389
75,AK,76,Glennallen,62.103895,-145.661684
76,AK,77,Goodnews Bay,59.085008,-161.587146
77,AK,78,Grayling,63.372013,-159.404907
78,AK,79,Gustavus,58.42835,-135.761542
79,AK,80,Haines,59.251886,-135.542032
80,AK,81,Healy,63.917123,-149.011128
81,AK,82,Holy Cross,62.192584,-159.825092
82,AK,83,Homer,59.665495,-151.462644
83,AK,84,Hoonah,58.032237,-135.558435
84,AK,85,Hooper Bay,61.537157,-165.891045
85,AK,86,Hope,60.92,-149.641667
86,AK,87,Houston,61.633611,-149.841111
87,AK,88,Hughes,66.038246,-154.26443
88,AK,89,Huslia,65.689918,-156.291976
89,AK,90,Hydaburg,55.137406,-132.633175
90,AK,91,Hyder,55.925867,-130.124915
91,AK,92,Iliamna,59.564836,-155.462556
92,AK,93,Indian,60.9804,-149.4917
93,AK,94,Juneau,58.362767,-134.529429
94,AK,95,Kake,56.975833,-133.947222
95,AK,96,Kaktovik,70.042889,-143.631329
96,AK,97,Kalskag,61.541006,-160.3261
97,AK,98,Kaltag,64.330452,-158.724251
98,AK,99,Karluk,57.57,-154.458333
99,AK,100,Kasigluk,60.895556,-162.520556
100,AK,101,Kasilof,60.316365,-151.28958
101,AK,102,Kenai,60.614467,-151.254556
102,AK,103,Ketchikan,55.372028,-131.683175
103,AK,104,Kiana,67.18026,-158.152204
104,AK,105,King Cove,55.062848,-162.305561
105,AK,106,King Salmon,58.724264,-156.641603
106,AK,107,Kipnuk,59.923204,-164.101013
107,AK,108,Kivalina,67.665859,-163.733617
108,AK,109,Klawock,55.552611,-133.055503
109,AK,110,Kobuk,66.912253,-157.066864
110,AK,111,Kodiak,57.781967,-152.500169
111,AK,112,Kongiganak,60.9888,-149.4116
112,AK,113,Kotlik,63.029471,-163.554153
113,AK,114,Kotzebue,66.846459,-162.126493
114,AK,115,Koyuk,64.931668,-161.149957
115,AK,116,Koyukuk,64.883333,-157.7
116,AK,117,Kwethluk,60.771814,-161.38849
117,AK,118,Kwigillingok,59.881022,-162.984938
118,AK,119,Lake Minchumina,63.903884,-152.430081
119,AK,120,Larsen Bay,57.538333,-153.98
120,AK,121,Levelock,59.371395,-154.976815
121,AK,122,Lower Kalskag,61.51377,-160.359966
122,AK,123,Manley Hot Springs,65.02058,-150.573267
123,AK,124,Manokotak,59.009559,-158.989699
124,AK,125,Marshall,61.837087,-161.7394
125,AK,126,Mc Grath,62.967153,-155.585153
126,AK,127,Mekoryuk,60.365679,-166.283583
127,AK,128,Metlakatla,55.121491,-131.579001
128,AK,129,Meyers Chuck,55.741667,-132.253333
129,AK,130,Minto,65.058399,-149.691186
130,AK,131,Moose Pass,60.85852,-149.255911
131,AK,132,Mountain Village,62.158913,-163.883822
132,AK,133,Naknek,58.885699,-156.705405
133,AK,134,Napakiak,60.663758,-161.738144
134,AK,135,Nenana,64.557656,-149.086744
135,AK,136,New Stuyahok,59.593533,-157.297205
136,AK,137,Nightmute,60.479444,-164.723889
137,AK,138,Nikiski,60.690278,-151.288889
138,AK,139,Nikolai,63.001603,-154.381247
139,AK,140,Nikolski,52.988337,-168.788427
140,AK,141,Ninilchik,60.010833,-151.639604
141,AK,142,Noatak,66.97553,-160.509453
142,AK,143,Nome,64.505775,-165.310667
143,AK,144,Nondalton,60.030837,-154.731675
144,AK,145,Noorvik,66.836353,-161.044132
145,AK,146,North Pole,64.78049,-147.369353
146,AK,147,Northway,62.964167,-141.908611
147,AK,148,Nuiqsut,70.192737,-150.997119
148,AK,149,Nulato,64.778024,-157.991353
149,AK,150,Nunam Iqua,62.509167,-164.453333
150,AK,151,Nunapitchuk,60.896944,-162.459444
151,AK,152,Old Harbor,57.202778,-153.303889
152,AK,153,Ouzinkie,57.925,-152.491667
153,AK,154,Palmer,61.613814,-149.065323
154,AK,155,Pedro Bay,59.92238,-153.821856
155,AK,156,Pelican,57.960833,-136.2275
156,AK,157,Perryville,55.945289,-159.259333
157,AK,158,Petersburg,56.827134,-133.160683
158,AK,159,Pilot Point,57.595193,-157.449272
159,AK,160,Pilot Station,61.946159,-162.874716
160,AK,161,Platinum,58.63364,-162.043201
161,AK,162,Point Baker,56.307858,-133.376372
162,AK,163,Point Hope,68.312058,-166.72618
163,AK,164,Point Lay,69.705626,-162.906148
164,AK,165,Port Alexander,57.05,-135.333333
165,AK,166,Port Alsworth,60.636416,-154.433803
166,AK,167,Port Heiden,56.964333,-158.566367
167,AK,168,Port Lions,57.866667,-152.883333
168,AK,169,Prudhoe Bay,70.070057,-148.559636
169,AK,170,Quinhagak,59.738057,-161.874938
170,AK,171,Rampart,65.383627,-150.011201
171,AK,172,Red Devil,61.735389,-157.195969
172,AK,173,Ruby,64.720062,-155.503872
173,AK,174,Russian Mission,61.591302,-161.558413
174,AK,175,Saint George Island,56.60324,-169.547257
175,AK,176,Saint Marys,62.054106,-163.205263
176,AK,177,Saint Michael,63.47759,-162.109141
177,AK,178,Saint Paul Island,57.178697,-170.293408
178,AK,179,Salcha,64.50905,-146.952974
179,AK,180,Sand Point,55.319236,-160.491435
180,AK,181,Savoonga,63.679737,-170.470908
181,AK,182,Scammon Bay,61.845019,-165.581945
182,AK,183,Selawik,65.713537,-158.534287
183,AK,184,Seldovia,59.436667,-151.708333
184,AK,185,Seward,60.132874,-149.39849
185,AK,186,Shageluk,62.661092,-159.52816
186,AK,187,Shaktoolik,64.375498,-161.174589
187,AK,188,Shishmaref,66.230562,-166.137276
188,AK,189,Shungnak,66.958141,-157.613496
189,AK,190,Sitka,57.051436,-135.316569
190,AK,191,Skagway,59.468471,-135.301794
191,AK,192,Skwentna,61.958333,-151.181667
192,AK,193,Sleetmute,61.634555,-157.118284
193,AK,194,Soldotna,60.481778,-151.13582
194,AK,195,South Naknek,58.736221,-156.850289
195,AK,196,Stebbins,63.478468,-162.227355
196,AK,197,Sterling,60.520373,-150.849792
197,AK,198,Stevens Village,65.995894,-149.118286
198,AK,199,Sutton,61.796667,-148.462778
199,AK,200,Takotna,62.948889,-155.566389
200,AK,201,Talkeetna,62.260516,-150.110097
201,AK,202,Tanacross,63.385278,-143.346389
202,AK,203,Tanana,65.156483,-152.103747
203,AK,204,Tatitlek,60.864722,-146.678611
204,AK,205,Teller,65.240164,-166.3833
205,AK,206,Tenakee Springs,57.78,-135.216667
206,AK,207,Thorne Bay,55.66086,-132.513815
207,AK,208,Togiak,59.066667,-160.4
208,AK,209,Tok,63.333333,-142.983333
209,AK,210,Toksook Bay,60.537,-165.097
210,AK,211,Trapper Creek,61.441361,-150.284455
211,AK,212,Tuluksak,61.108848,-160.938924
212,AK,213,Tuntutuliak,60.8438,-161.6372
