State,Average of salary_average
Alabama,60
Alaska,63
Arizona,69
Arkansas,64
California,89
Colorado,69
Connecticut,63
Delaware,64
Florida,66
Georgia,53
Hawaii,90
Idaho,59
Illinois,75
Indiana,61
Iowa,64
Kansas,60
Kentucky,61
Louisiana,66
Maine,72
Maryland,73
Massachusetts,67
Michigan,68
Minnesota,61
Mississippi,63
Missouri,68
Montana,52
Nebraska,66
Nevada,59
New Hampshire,70
New Jersey,69
New Mexico,78
New York,69
North Carolina,62
North Dakota,46
Ohio,62
Oklahoma,79
Oregon,62
Pennsylvania,60
Puerto Rico,63
Rhode Island,76
South Carolina,68
South Dakota,58
Tennessee,67
Texas,62
Utah,66
Vermont,64
Virginia,61
Washington,68
West Virginia,54
Wisconsin,55
Wyoming,81
Grand Total,67
